title,author,description,genres,pages,rating
"Purification of the Heart: Signs, Symptoms and Cures of the Spiritual Diseases of the Heart",Hamza Yusuf,"Translation and Commentary of Imam al-Mawlud's Matharat al-Qulub by Hamza YusufThis exploration of Islamic spirituality delves into the psychological diseases and cures of the heart. Diseases examined include miserliness, envy, hatred, treachery, rancour, malice, ostentation, arrogance, covetousness, lust, and other afflictions that assail people and often control them. The causes and practical cures of these diseases are discussed, offering a penetrating glimpse into how Islam deals with spiritual and psychological problems and demonstrating how all people can benefit from these teachings.","{'Psychology', 'Religion', 'Self Help', 'Spirituality', 'Islam', 'Nonfiction', 'Faith'}","220 pages, Paperback",4.53
لا تحزن,عائض القرني,"""خطّ المؤلف في هذه الصفحات علاجاً لمن عاش ضائقة أو ألمّ به حزن أو هم، أو طاف به طائف من مصيبة، أو أقضي مضجعه أرق، وشرد نومه قلق. وأينا يخلو من ذلك. هنا في طيات هذا الكتاب آيات وأبيات، صور وعبر، وفوائد وشوارد، وأمثال وقصص، وسكبت فيها عصارة ما وصل إليه اللامعون، من وراء القلب المفجوع، والروح المنهكة، والنفس الحزينة البائسة، وهذه التجارب تقول للإنسان: أبشر واسعد، وتفاءل واهدأ، وعش الحياة كما هي، طيبة رضية بهيجة.""رابط التحميل:http://www.waqfeya.com/book.php?bid=3436","{'Psychology', 'Religion', 'Self Help', 'Spirituality', 'Islam', 'Philosophy', 'Nonfiction'}","584 pages, Paperback",4.13
Muhammad: A Biography of the Prophet,Karen Armstrong,"Discusses the life of the founder of Islam, the emergence of Islam in the midst of the turbulence of seventh-century Arabia, and Western views of the prophet and his religion from a historical perspective. Reissue.","{'Religion', 'Spirituality', 'History', 'Islam', 'Philosophy', 'Nonfiction', 'Biography'}","290 pages, Paperback",4.19
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,"Over 700,000 copies of the original hardcover and paperback editions of this stunningly popular book have been sold. Karen Armstrong's superbly readable exploration of how the three dominant monotheistic religions of the world—Judaism, Christianity, and Islam—have shaped and altered the conception of God is a tour de force. One of Britain's foremost commentators on religious affairs, Armstrong traces the history of how men and women have perceived and experienced God, from the time of Abraham to the present. From classical philosophy and medieval mysticism to the Reformation, the Enlightenment, and the modern age of skepticism, Armstrong performs the near miracle of distilling the intellectual history of monotheism into one compelling volume.","{'Religion', 'Spirituality', 'History', 'Islam', 'Philosophy', 'Nonfiction', 'Theology'}","496 pages, Hardcover",3.88
The Autobiography of Malcolm X,Malcolm X,"Alternate cover for ISBN 9780345350688Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind. An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcolm X's life into his legacy. The strength of his words, and the power of his ideas continue to resonate more than a generation after they first appeared.","{'History', 'Nonfiction', 'Autobiography', 'Memoir', 'Politics', 'Race', 'Biography'}","466 pages, Mass Market Paperback",4.35
Qur'an and Woman: Rereading the Sacred Text from a Woman's Perspective,Amina Wadud,"A pro-faith attempt by a Muslim woman to present a comprehensive, female-inclusive reading of the Qur'an, the sacred Islamic text.","{'Gender', 'Religion', 'Feminism', 'Academic', 'Islam', 'Nonfiction', 'Womens'}","118 pages, Paperback",4.24
Misquoting Muhammad: The Challenge and Choices of Interpreting the Prophet's Legacy,Jonathan A.C. Brown,"Few things provoke controversy in the modern world like the religion brought by Muhammad. Modern media are replete with alarm over jihad, underage marriage and the threat of amputation or stoning under Shariah law. Sometimes rumor, sometimes based in fact and often misunderstood, the tenets of Islamic law and dogma were not set in the religion’s founding moments. They were developed over centuries by the clerical class of Muslim scholars.Misquoting Muhammad takes the reader back in time through Islamic civilization and traces how and why such controversies developed, offering an inside view into how key and controversial aspects of Islam took shape. From the protests of the Arab Spring to Istanbul at the fall of the Ottoman Empire, and from the ochre red walls of Delhi’s great mosques to the trade routes of Islam’s Indian Ocean world, Misquoting Muhammad lays out how Muslim intellectuals have sought to balance reason and revelation, weigh science and religion, and negotiate the eternal truths of scripture amid shifting values.","{'Religion', 'Spirituality', 'History', 'Islam', 'Philosophy', 'Nonfiction', 'Theology'}","384 pages, Hardcover",4.36
Lost Islamic History: Reclaiming Muslim Civilisation from the Past,Firas Alkhateeb,"Islam has been one of the most powerful religious, social and political forces in history. Over the last 1400 years, from origins in Arabia, a succession of Muslim polities and later empires expanded to control territories and peoples that ultimately stretched from southern France to EastAfrica and South East Asia.Yet many of the contributions of Muslim thinkers, scientists and theologians, not to mention rulers, statesmen and soldiers, have been occluded. This book rescues from oblivion and neglect some of these personalities and institutions while offering the reader a new narrative of this lost Islamichistory. The Umayyads, Abbasids, and Ottomans feature in the story, as do Muslim Spain, the savannah kingdoms of West Africa and the Mughal Empire, along with the later European colonization of Muslim lands and the development of modern nation-states in the Muslim world. Throughout, the impact ofIslamic belief on scientific advancement, social structures, and cultural development is given due prominence, and the text is complemented by portraits of key personalities, inventions and little known historical nuggets. The history of Islam and of the world's Muslims brings together diversepeoples, geographies and states, all interwoven into one narrative that begins with Muhammad and continues to this day.","{'Religion', 'Historical', 'Spirituality', 'History', 'Muslims', 'Islam', 'Nonfiction'}","217 pages, Paperback",4.46
The Road to Mecca,Muhammad Asad,"In this extraordinary and beautifully-written autobiography, Asad tells of his initial rejection of all institutional religions, his entree into Taoism, his fascinating travels as a diplomat, and finally his embrace of Islam.","{'Religion', 'Travel', 'History', 'Islam', 'Nonfiction', 'Memoir', 'Biography'}","375 pages, Paperback",4.48
Nine Parts of Desire: The Hidden World of Islamic Women,Geraldine Brooks,"INTERNATIONAL BESTSELLER - Pulitzer Prize winning author presents the stories of a wide range of Muslim women in the Middle East. As an Australian American and an experienced foreign correspondent, Brooks' thoughtful analysis attempts to understand the precarious status of women in the wake of Islamic fundamentalism.""Frank, enraging, and captivating."" - The New York TimesNine Parts of Desire is the story of Brooks' intrepid journey toward an understanding of the women behind the veils, and of the often contradictory political, religious, and cultural forces that shape their lives. Defying our stereotypes about the Muslim world, Brooks' acute analysis of the world's fastest growing religion deftly illustrates how Islam's holiest texts have been misused to justify repression of women, and how male pride and power have warped the original message of a once liberating faith. As a prizewinning foreign correspondent for  The Wall Street Journal , Geraldine Brooks spent six years covering the Middle East through wars, insurrections, and the volcanic upheaval of resurgent fundamentalism. Yet for her, headline events were only the backdrop to a less obvious but more enduring drama: the daily life of Muslim women.","{'Religion', 'Feminism', 'History', 'Islam', 'Nonfiction', 'Womens', 'Politics'}","255 pages, Paperback",4.05
"""Believing Women"" in Islam: Unreading Patriarchal Interpretations of the Qur'an",Asma Barlas,"Does Islam call for the oppression of women? Non-Muslims point to the subjugation of women that occurs in many Muslim countries, especially those that claim to be ""Islamic,"" while many Muslims read the Qur'an in ways that seem to justify sexual oppression, inequality, and patriarchy. Taking a wholly different view, Asma Barlas develops a believer's reading of the Qur'an that demonstrates the radically egalitarian and antipatriarchal nature of its teachings.Beginning with a historical analysis of religious authority and knowledge, Barlas shows how Muslims came to read inequality and patriarchy into the Qur'an to justify existing religious and social structures and demonstrates that the patriarchal meanings ascribed to the Qur'an are a function of who has read it, how, and in what contexts. She goes on to reread the Qur'an's position on a variety of issues in order to argue that its teachings do not support patriarchy. To the contrary, Barlas convincingly asserts that the Qur'an affirms the complete equality of the sexes, thereby offering an opportunity to theorize radical sexual equality from within the framework of its teachings. This new view takes readers into the heart of Islamic teachings on women, gender, and patriarchy, allowing them to understand Islam through its most sacred scripture, rather than through Muslim cultural practices or Western media stereotypes.","{'Religion', 'Feminism', 'History', 'Islam', 'Philosophy', 'Nonfiction', 'Womens'}","272 pages, Paperback",4.27
The Kite Runner,Khaled Hosseini,"1970s Afghanistan: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what would happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to an Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption.","{'Contemporary', 'Literature', 'Fiction', 'Historical', 'Historical Fiction', 'Classics', 'Novels'}","371 pages, Paperback",4.34
"Seeking Allah, Finding Jesus: A Devout Muslim Encounters Christianity",Nabeel Qureshi,"An Unexpected Journey from Islam to Christianity In Seeking Allah, Finding Jesus, Nabeel Qureshi describes his dramatic journey from Islam to Christianity, complete with friendships, investigations, and supernatural dreams along the way. Providing an intimate window into a loving Muslim home, Qureshi shares how he developed a passion for Islam before discovering, almost against his will, evidence that Jesus rose from the dead and claimed to be God. Unable to deny the arguments but not wanting to deny his family, Qureshi's inner turmoil will challenge Christians and Muslims alike. Engaging and thought-provoking, Seeking Allah, Finding Jesus tells a powerful story of the clash between Islam and Christianity in one man's heart---and of the peace he eventually found in Jesus.","{'Christian', 'Christianity', 'Religion', 'Islam', 'Nonfiction', 'Faith', 'Biography'}","304 pages, Paperback",4.55
A Thousand Splendid Suns,Khaled Hosseini,"Mariam is only fifteen when she is sent to Kabul to marry the troubled and bitter Rasheed, who is thirty years her senior. Nearly two decades later, in a climate of growing unrest, tragedy strikes fifteen-year-old Laila, who must leave her home and join Mariam's unhappy household. Laila and Mariam are to find consolation in each other, their friendship to grow as deep as the bond between sisters, as strong as the ties between mother and daughter. With the passing of time comes Taliban rule over Afghanistan, the streets of Kabul loud with the sound of gunfire and bombs, life a desperate struggle against starvation, brutality and fear, the women's endurance tested beyond their worst imaginings. Yet love can move people to act in unexpected ways, lead them to overcome the most daunting obstacles with a startling heroism. In the end it is love that triumphs over death and destruction.""A Thousand Splendid Suns"" is a portrait of a wounded country and a story of family and friendship, of an unforgiving time, an unlikely bond, and an indestructible love.","{'Contemporary', 'Fiction', 'Historical', 'Historical Fiction', 'War', 'Classics', 'Novels'}","372 pages, Hardcover",4.42
Women and Gender in Islam,Leila Ahmed,"Are Islamic societies inherently oppressive to women? Is the trend among Islamic women to appear once again in veils and other traditional clothing a symbol of regression or an effort to return to a “pure” Islam that was just and fair to both sexes? In this book Leila Ahmed adds a new perspective to the current debate about women and Islam by exploring its historical roots, tracing the developments in Islamic discourses on women and gender from the ancient world to the present.In order to distinguish what was distinctive about the earliest Islamic doctrine on women, Ahmed first describes the gender systems in place in the Middle East before the rise of Islam. She then focuses on those Arab societies that played a key role in elaborating the dominant Islamic discourses about women and gender: Arabia during the period in which Islam was founded; Iraq during the classical age, when the prescriptive core of legal and religious discourse on women was formulated; and Egypt during the nineteenth and twentieth centuries, when exposure to Western societies led to dramatic social change and to the emergence of new discourses on women. Throughout, Ahmed not only considers the Islamic texts in which central ideologies about women and gender developed or were debated but also places this discourse in its social and historical context. Her book is thus a fascinating survey of Islamic debates and ideologies about women and the historical circumstances of their position in society, the first such discussion using the analytic tools of contemporary gender studies.","{'Gender', 'Religion', 'Feminism', 'History', 'Islam', 'Nonfiction', 'Womens'}","296 pages, Paperback",4.10
Muhammad: A Prophet for Our Time,Karen Armstrong,"Muhammad was born in 570 CE, and over the following sixty years built a thriving spiritual community, laying the foundations of a religion that changed the course of world history. There is more historical data on his life than on that of the founder of any other major faith, and yet his story is little known. Karen Armstrong's immaculately researched new biography of Muhammad will enable readers to understand the true origins and spirituality of a faith that is all too often misrepresented as cruel, intolerant, and inherently violent. An acclaimed authority on religious and spiritual issues, Armstrong offers a balanced, in-depth portrait, revealing the man at the heart of Islam by dismantling centuries of misconceptions. Armstrong demonstrates that Muhammad's life--a pivot point in history--has genuine relevance to the global crises we face today.","{'Religion', 'Spirituality', 'History', 'Islam', 'Nonfiction', 'Theology', 'Biography'}","256 pages, Hardcover",4.09
قصص الأنبياء,ابن كثير,"قصص الأنبياء في القرآن الكريم هي قصص لصفوة الخلق وخيرتهم على الإطلاق، فهم هداة العالمين ورحمة الله للناس أجمعين، وما كان الله قص ما قص من قصص في قرآن الكريم للتسلية والتلهي، وإنما جاء عظة وعبرة لأولي الألباب، وجاء يثير في النفس التأمل والتفكر في سنن الحياة وقواعد الاجتماع البشري وسيرة الناس عبر الزمان والمكان. وإن كان ربنا، تبارك وتعالى، أنعم علينا بنعمة قصص طائفة من حكايات الأنبياء وأقوامهم فإنه يلفت النظر إلى أن المهم في تاريخ هؤلاء العظماء أ نقف عند حد العظة والعبرة. ولقد تمثل المفسر الحافظ ابن كثير منهجاً علمياً بديعاً في عرض هذا القصص القرآني، حاول فيه الابتعاد عن خرافات الإسرائيليات وخزعبلات القصاص وأكاذيب بعض المؤرخين.ويمكن تحديد معالم هذا المنهج على النحو التالي: أولاً التزامه بإيراد كل ما يتعلق بالنبي صاحب القصة من كتاب الله تعالى، وأخبار القرآن في هذا السياق هي الأخبار المجزوم يصدقها على وجه اليقين من دون تردد. ولم يكتف المؤلف بذلك بل وقف مع الآيات محللاً لها، مفسراً لمعانيها، متعمقاً في مغازيها، وهو المفسر الواعي بدقائق التفسير.ثانياً عنايته عناية كبيرة بالأخبار والآثار المروية بشأن هؤلاء الأنبياء على عدة مستويات، فالأحاديث يعنى بعزوها إلى مصادرها، منبهاً على صحيحها وسقيمها في كثير من الأحيان، والإسرائيليات إذا وردت في النص، فإنه يرويها في حذر المحدث الواعي بالمرويات، مبيناً الغث منها وما يمكن أن يكون في إطار المقبول، والآثار يتتبع ما يلقي على النص شيئاً من الضوء لإيضاح غامض أو توضيح مبهم. ثالثاً العناية باللغة إلى حد معقول فيفسر ما نبا من مفردات، ويشرح ما ثقل فهمه من نصوص، وهو يحمل في ذهنه عقلية لغوية بليغة. رابعاً بالإضافة إلى ذلك كله التسلسل المنهجي المنطلق مع الأحداث، مع شيء من الاستطراد المقبول بهدف استخراج العظة والوقوف مع فائدة هنا، أو شاردة هناك.وكتاب قصص الأنبياء الذي هو بين يدي القارئ هو جزء من كتاب ابن كثير ""البداية والنهاية""، انتزعه كل طبع الكتاب مستقلاً منه، فليس هو مصنفاً مستقلاً في أصل تأليف ووضعه. ولأهميته تمّ الاعتناء به على هذا النحو: أولاً: العناية بإخراج النص إخراجاً صحيحاً بعيداً عن الأخطاء ما أمكن ذلك، ثانياً: تخريج الآيات القرآنية، مع استعراض غريب المفردات التي توجد في الآيات، ثالثاً: تخريج المرويات المتعددة، رابعاً: شرح المفردات الغريبة في النص كله تيسيراً للفهم وتحقيقاً لهدف تبسيط النص، خامساً: وضع عناوين جانبية لكل فكرة جديدة، ليسهل على القارئ متابعة تسلسل الأحداث والاستفادة بما في الكتاب من فوائد علمية متنوعة.","{'Religion', 'Reference', 'Spirituality', 'History', 'Islam', 'Nonfiction', 'Biography'}","682 pages, Hardcover",4.50
The Study Quran: A New Translation and Commentary,Seyyed Hossein Nasr,"The Study Quran is a historic and groundbreaking work, produced by a distinguished team of Islamic studies scholars led by Seyyed Hossein Nasr, which offers:A new English translation of the Quran that is accurate, accessible, and reliable in how it renders this sacred text.A wide-ranging verse-by-verse commentary that brings together the most respected and distinguished traditions of metaphysical, spiritual, theological, and legal interpretation of the Quran within Islam.A helpful introduction to each surah that provides an overview and background of its teachings.Essays by fifteen internationally renowned scholars on how to read and understand the Quran and its role in shaping Islamic civilization.A beautiful two-color, two-column design that presents the sacred text and commentary in the spirit of traditional Quran manuscriptsMaps, a time line of historical events, comprehensive indexes, and other features to aid readingThe Study Quran provides a service never before available to readers of English: a scholarly yet accessible resource where one can quickly and easily explore how Muslims have interpreted the Quran through the centuries to the present day. An invaluable resource for scholars and students of all backgrounds, and especially to Muslims who want to deepen their understanding of their own tradition, The Study Quran is a much-needed guide in a time when confusion about the Quran and Islam is so prevalent.","{'Religion', 'Reference', 'Spirituality', 'Islam', 'Philosophy', 'Nonfiction', 'Theology'}","2048 pages, Unknown Binding",4.46
"Timeless Seeds of Advice: The Sayings of Prophet Muhammad ﷺ , Ibn Taymiyyah, Ibn al-Qayyim, Ibn al-Jawzi and Other Prominent Scholars in Bringing Comfort and Hope to the Soul",B.B. Abdulla,"A selection of beautiful and practical pieces of advice from the Quran, the Prophet PBUH and Islam’s great scholars on repentance, guidance and purification. This book is designed to serve as a source of hope and strength for those going through difficult times, while providing numerous important pieces of knowledge and guidance for all readers and all times.","{'Religion', 'Self Help', 'Spirituality', 'Muslims', 'Islam', 'Nonfiction', 'Faith'}","252 pages, Kindle Edition",4.60
The Butterfly Mosque: A Young American Woman's Journey to Love and Islam,G. Willow Wilson,"The extraordinary story of an all-American girl’s conversion to Islam and her ensuing romance with a young Egyptian man, The Butterfly Mosque is a stunning articulation of a Westerner embracing the Muslim world.When G. Willow Wilson—already an accomplished writer on modern religion and the Middle East at just twenty-seven—leaves her atheist parents in Denver to study at Boston University, she enrolls in an Islamic Studies course that leads to her shocking conversion to Islam and sends her on a fated journey across continents and into an uncertain future.She settles in Cairo where she teaches English and submerges herself in a culture based on her adopted religion. And then she meets Omar, a passionate young man with a mild resentment of the Western influences in his homeland. They fall in love, entering into a daring relationship that calls into question the very nature of family, belief, and tradition. Torn between the secular West and Muslim East, Willow records her intensely personal struggle to forge a “third culture” that might accommodate her own values without compromising the friends and family on both sides of the divide.","{'Religion', 'Egypt', 'Islam', 'Nonfiction', 'Autobiography', 'Memoir', 'Biography'}","304 pages, Hardcover",4.06
